,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
63,Jordan Morgan,GB,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Nick Niemann,GB,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Sean Rhyan,GB,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Elgton Jenkins,GB,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Zach Tom,GB,OL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Lecitus Smith,GB,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Jacob Monk,GB,C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Rasheed Walker,GB,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,JJ Jansen,CAR,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Connor McGovern,BUF,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,O'Cyrus Torrence,BUF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mecole Hardman,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2
