,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
62,E.J. Jenkins,PHI,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Ogbo Okoronkwo,PHI,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Jordan Mailata,PHI,OT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Smael Mondon Jr.,PHI,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Braden Mann,PHI,P,17,0,0,0,-34,0,0,0,0,0,0,0,0,-0.2,-3.4
67,Jalen Milroe,SEA,QB,3,0,0,0,4,0,0,0,0,0,0,0,0,-0.5,-1.6
68,Spencer Brown,BUF,OT,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Chase Lundt,BUF,OT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Alec Anderson,BUF,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Jimmy Ciarlo,BUF,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Connor McGovern,BUF,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,O'Cyrus Torrence,BUF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mecole Hardman,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2
